"","id","dam","sire","sex","dna","sire_dna","dam_dna","year","has_dna","par_rel","par_dna","fullsibs","sibships","depth","color","affected","family"
"1","5508",NA,NA,"female","KL659",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,1
"2","5510",NA,NA,"male","KL661",NA,NA,2006,1,NA,FALSE,NA,3,NA,1,NA,1
"3","5601",NA,NA,"male","KL777",NA,NA,2007,1,NA,FALSE,NA,6,NA,1,NA,2
"4","6104",NA,NA,"female","KL090112",NA,NA,2006,1,NA,FALSE,NA,NA,NA,1,NA,3
"5","6407",NA,NA,"male","KL090161",NA,NA,2009,1,NA,FALSE,NA,2,NA,1,NA,3
"6","6410",NA,NA,"male","KL090276",NA,NA,2009,1,NA,FALSE,NA,5,NA,1,NA,1
"7","8219",NA,NA,"male","KL110450",NA,NA,2008,1,NA,FALSE,NA,5,NA,1,NA,1
"8","8221",NA,NA,"male","KL100102",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"9","8225",NA,NA,"male","KL100109",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"10","8226",NA,NA,"male","KL100112",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,3
"11","8232",NA,NA,"male","KL100124",NA,NA,2010,1,NA,FALSE,NA,5,NA,1,NA,1
"12","8233",NA,NA,"male","KL100126",NA,NA,2010,1,NA,FALSE,NA,2,NA,1,NA,1
"13","8239",NA,NA,"female","KL100141",NA,NA,2010,1,NA,FALSE,NA,3,NA,1,NA,1
"14","8405",NA,NA,"female","SU100114",NA,NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,4
"15","9016",NA,NA,"male","KL110115",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,2
"16","9017",NA,NA,"male","KL110121",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,1
"17","9023",NA,NA,"male","KL110203",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,1
"18","9028",NA,NA,"male","KL110327",NA,NA,2011,1,NA,FALSE,NA,3,NA,1,NA,1
"19","9192",NA,NA,"male","SU110106",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,5
"20","9194",NA,NA,"male","SU110109",NA,NA,2011,1,NA,FALSE,NA,5,NA,1,NA,5
"21","9198",NA,NA,"male","SU110122",NA,NA,2011,1,NA,FALSE,NA,NA,NA,1,NA,5
"22","9202",NA,NA,"male","SU110155",NA,NA,2011,1,NA,FALSE,NA,2,NA,1,NA,4
"23","5914",NA,NA,"male","KL684","KL664","KL659",2007,1,0,FALSE,NA,1,NA,1,0,3
"24","6284","5508","5510","male","KL080249","KL661","KL659",2008,1,0,TRUE,3,1,1,1,0,1
"25","6430",NA,NA,"female","KL090245","DS","KL090101",2009,1,0,FALSE,NA,2,NA,1,0,1
"26","8300","8239","6410","female","KL100264","KL090276","KL100141",2010,1,0,TRUE,1,NA,1,1,0,1
"27","8379",NA,NA,"male","KL100447","KL635",NA,2010,1,NA,FALSE,NA,NA,NA,1,NA,1
"28","6204","6104","5914","male","KL080247","KL684","KL090112",2008,1,0,TRUE,1,1,1,1,0,3
"29","8308","6430","6284","male","KL100304","KL080249","KL090245",2010,1,0,TRUE,1,NA,2,1,0,1
"30","5927",NA,NA,"male","KL695","KL310","KL613",2007,1,0.0625,FALSE,0,NA,3,1,1,6
"31","5983",NA,NA,"female","KL751","KL482","KL421",2007,1,0,FALSE,0,NA,1,1,0,6
"32","8370",NA,NA,"male","KL100437","KL638","KL677",2010,1,0,FALSE,0,NA,3,1,0,1
"33","8371",NA,NA,"male","KL100438","KL638","KL677",2010,1,0,FALSE,0,NA,3,1,0,1
"34","8511",NA,NA,"male","SU100374","DS","SU649",2010,1,0,FALSE,0,3,1,1,0,4
"35","5931",NA,NA,"female","KL699","KL614","KL620",2007,1,0,FALSE,0,NA,2,1,0,3
"36","6221",NA,NA,"female","KL080336","DS","KL295",2008,1,0,FALSE,NA,2,NA,1,0,1
"37","6499","5983","5927","male","KL090281","KL695","KL751",2009,1,0.015625,TRUE,0,1,4,1,1,6
"38","9421","8239","8371","male","KL120107","KL100438","KL100141",2012,1,0,TRUE,1,NA,4,1,0,1
"39","9520","8300","8371","male","KL120345","KL100438","KL100264",2012,1,0,TRUE,1,NA,4,1,0,1
"40","6487",NA,NA,"male","KL090215","KL428","KL678",2009,1,0,FALSE,0,NA,1,1,0,1
"41","6490","5931","6204","female","KL090255","KL080247","KL699",2009,1,0,TRUE,1,2,3,1,0,3
"42","8259","6221","8233","male","KL100178","KL100126","KL080336",2010,1,0,TRUE,2,NA,1,1,0,1
"43","5700",NA,NA,"female","KL591","KL428","KL506",2006,1,0,FALSE,0,NA,1,1,0,7
"44","6058",NA,NA,"male","SU673","DS","SU440",2007,1,0,FALSE,0,2,1,1,0,4
"45","6248",NA,NA,"female","KL080243","KL428","KL506",2008,1,0,FALSE,0,4,1,1,0,1
"46","6450",NA,NA,"female","KL090172","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,1
"47","6451",NA,NA,"female","KL090174","KL695","KL506",2009,1,0,FALSE,0,NA,4,1,0,1
